database_name,database_owner,database_start_time,schema_name,schema_owner,schema_create_time,table_name,table_owner,table_create_time,column_name,column_type,column_length,column_default_value,column_nullable,column_numeric_precision,column_numeric_scale,column_id
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,product_dimension,dbadmin,2019-04-22 18:54:59.306639-04,fat_content,int,8,,t,,,45035996273707154-9
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,product_dimension,dbadmin,2019-04-22 18:54:59.306639-04,highest_competitor_price,int,8,,t,,,45035996273707154-19
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,product_dimension,dbadmin,2019-04-22 18:54:59.306639-04,lowest_competitor_price,int,8,,t,,,45035996273707154-18
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,product_dimension,dbadmin,2019-04-22 18:54:59.306639-04,package_size,char(32),32,,t,,,45035996273707154-8
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,product_dimension,dbadmin,2019-04-22 18:54:59.306639-04,package_type_description,char(32),32,,t,,,45035996273707154-7
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,product_dimension,dbadmin,2019-04-22 18:54:59.306639-04,product_cost,int,8,,t,,,45035996273707154-17
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,product_dimension,dbadmin,2019-04-22 18:54:59.306639-04,product_description,varchar(128),128,,t,,,45035996273707154-3
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,product_dimension,dbadmin,2019-04-22 18:54:59.306639-04,product_key,int,8,,f,,,45035996273707154-1
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,product_dimension,dbadmin,2019-04-22 18:54:59.306639-04,product_price,int,8,,t,,,45035996273707154-16
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,product_dimension,dbadmin,2019-04-22 18:54:59.306639-04,product_version,int,8,,f,,,45035996273707154-2
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,product_dimension,dbadmin,2019-04-22 18:54:59.306639-04,shelf_depth,int,8,,t,,,45035996273707154-15
